City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Pisco,PE,75.2,clear sky,-13.7,-76.2167,Pisco
3,Arraial Do Cabo,BR,86.0,clear sky,-22.9661,-42.0278,Cabo Frio
7,Atuona,PF,79.52,few clouds,-9.8,-139.0333,Atuona
9,Bambanglipuro,ID,76.05,overcast clouds,-7.95,110.2833,Bantul
11,Mar Del Plata,AR,75.2,clear sky,-38.0023,-57.5575,Mar del Plata
15,Vaini,TO,77.0,moderate rain,-21.2,-175.2,Nukuhetulu
19,Avarua,CK,82.4,overcast clouds,-21.2078,-159.775,Avarua District
21,Coihaique,CL,84.2,clear sky,-45.5752,-72.0662,Coyhaique
24,Sinnamary,GF,78.84,broken clouds,5.3833,-52.95,Sinnamary
31,Rikitea,PF,78.8,clear sky,-23.1203,-134.9692,Rikitea
41,Hithadhoo,MV,82.69,overcast clouds,-0.6,73.0833,Addu City
46,Acapulco,MX,84.2,clear sky,16.8634,-99.8901,Acapulco
47,Acajutla,SV,84.06,clear sky,13.5928,-89.8275,Acajutla
48,Bengkulu,ID,76.48,broken clouds,-3.8004,102.2655,Bengkulu
50,Bambous Virieux,MU,80.6,light rain,-20.3428,57.7575,Vieux Grand Port
53,Butaritari,KI,80.87,light rain,3.0707,172.7902,Isles Sunset Lodge
62,Namatanai,PG,78.33,moderate rain,-3.6667,152.4333,Namatanai
71,Inhambane,MZ,77.0,broken clouds,-23.865,35.3833,Maxixe
75,Pho Thong,TH,77.0,scattered clouds,14.6673,100.4088,Ang Khao
76,Puerto Ayora,EC,86.0,scattered clouds,-0.7393,-90.3518,Puerto Ayora
78,Makasar,ID,75.2,scattered clouds,-5.14,119.4221,Makassar
79,Camapua,BR,82.56,broken clouds,-19.5314,-54.0439,Camapuã
82,Ippy,CF,83.3,clear sky,6.2679,21.2247,Ippy
84,Zorritos,PE,84.2,broken clouds,-3.6805,-80.6782,Zorritos
85,Cabo San Lucas,MX,84.0,few clouds,22.8909,-109.9124,Cabo San Lucas
86,Bougouni,ML,87.33,overcast clouds,11.417,-7.479,Bougouni
88,Kathu,TH,78.8,few clouds,7.9178,98.3332,Phuket
89,Mahebourg,MU,80.6,light rain,-20.4081,57.7,Mahebourg
90,Phanom Sarakham,TH,81.0,clear sky,13.7479,101.3553,Ko Khanun
91,Camocim,BR,86.02,clear sky,-2.9022,-40.8411,Camocim
98,Lorengau,PG,79.97,overcast clouds,-2.0226,147.2712,Lorengau
102,Tevaitoa,PF,81.32,clear sky,-16.7833,-151.5,Uturoa
103,Champerico,GT,87.8,broken clouds,14.3,-91.9167,Champerico
108,Samana,DO,86.0,few clouds,19.2056,-69.3369,Samana
109,Ibitinga,BR,81.91,clear sky,-21.7578,-48.8289,Ibitinga
114,Jaciara,BR,85.6,broken clouds,-15.9653,-54.9683,Jaciara
120,Isangel,VU,75.2,few clouds,-19.55,169.2667,Isangel
121,Souillac,MU,80.6,scattered clouds,-20.5167,57.5167,Souillac
124,Kudahuvadhoo,MV,81.36,overcast clouds,2.6708,72.8944,Kudahuvadhoo
125,Faanui,PF,81.18,clear sky,-16.4833,-151.75,Vaitape
130,Bubaque,GW,78.33,overcast clouds,11.2833,-15.8333,Bubaque
133,Kununurra,AU,77.0,broken clouds,-15.7667,128.7333,Kununurra
134,Planaltina,BR,82.4,broken clouds,-15.4528,-47.6142,Planaltina
144,Panama City,PA,89.6,scattered clouds,8.9936,-79.5197,Panama City
145,Port-Gentil,GA,82.4,scattered clouds,-0.7193,8.7815,Port-Gentil
146,Gao,ML,78.21,clear sky,16.6362,1.6369999999999998,
150,Santa Cruz Del Sur,CU,81.68,light rain,20.7147,-77.9956,Santa Cruz del Sur
152,Lady Lake,US,75.2,overcast clouds,28.9175,-81.9229,The Villages
156,Monrovia,LR,82.4,scattered clouds,6.3005,-10.7969,Monrovia
158,Presidencia Roque Saenz Pena,AR,86.0,clear sky,-26.7852,-60.4388,Presidencia Roque Sáenz Peña
160,Koumac,NC,76.57,clear sky,-20.5667,164.2833,Koumac
161,Beloha,MG,77.2,broken clouds,-25.1667,45.05,Beloha
165,Morant Bay,JM,86.0,few clouds,17.8815,-76.4093,Morant Bay
175,Cabadiangan,PH,76.23,broken clouds,9.7531,122.4739,Sipalay
182,Antsohihy,MG,76.28,broken clouds,-14.8796,47.9875,Antsohihy
186,Mananara,MG,76.57,broken clouds,-16.1667,49.7667,Mananara Avaratra
190,Port Keats,AU,81.18,overcast clouds,-14.25,129.55,Thamarrurr
191,Angra Dos Reis,BR,78.8,heavy intensity rain,-23.0067,-44.3181,Angra dos Reis
192,Quatre Cocos,MU,80.6,light rain,-20.2078,57.7625,Central Flacq
196,Aloleng,PH,77.38,few clouds,16.1307,119.7824,Agno
199,Pangoa,PE,76.89,overcast clouds,-12.1167,-73.0,Colegio De Pangoa
200,Chake Chake,TZ,79.41,clear sky,-5.2459,39.7666,Chake Chake
202,Bathsheba,BB,84.2,scattered clouds,13.2167,-59.5167,Wilson Hill
204,Carnarvon,AU,80.6,overcast clouds,-24.8667,113.6333,Carnarvon
205,Tautira,PF,82.0,broken clouds,-17.7333,-149.15,Tautira
207,Yuli,NG,83.19,broken clouds,9.6989,10.2744,Bajoga
208,Sao Sebastiao,BR,75.13,overcast clouds,-23.76,-45.4097,Caraguatatuba
209,Port Hedland,AU,77.0,few clouds,-20.3167,118.5667,Port Hedland
217,Ancud,CL,84.2,clear sky,-41.8697,-73.8203,Ancud
223,Tambopata,PE,89.6,scattered clouds,-12.7333,-69.1833,Chonta
229,Cayenne,GF,80.6,overcast clouds,4.9333,-52.3333,Cayenne
230,Vao,NC,77.54,clear sky,-22.6667,167.4833,Vao
233,Nacala,MZ,79.56,overcast clouds,-14.5428,40.6728,Nacala
234,Anito,PH,77.56,scattered clouds,12.4497,125.2886,Gamay
237,Kirakira,SB,79.32,moderate rain,-10.4544,161.9205,Arohane
238,Sao Felix Do Xingu,BR,83.32,overcast clouds,-6.6447,-51.995,São Félix do Xingu
243,Guadalajara,MX,82.4,clear sky,20.6667,-103.3333,Guadalajara
246,Sao Jose Da Coroa Grande,BR,82.71,clear sky,-8.8978,-35.1478,São José da Coroa Grande
247,Wewak,PG,77.68,overcast clouds,-3.5534,143.6268,Wewak
250,Lagunillas,VE,87.85,overcast clouds,10.1301,-71.2595,Lagunillas
251,Palmas Bellas,PA,89.01,overcast clouds,9.2319,-80.0867,Palmas Bellas
254,Saint-Philippe,RE,80.6,few clouds,-21.3585,55.7679,Saint-Philippe
256,Roebourne,AU,80.35,scattered clouds,-20.7833,117.1333,Roebourne
264,Ransang,PH,78.53,overcast clouds,8.9603,117.5828,Rizal
267,Paracatu,BR,83.68,moderate rain,-17.2222,-46.8747,Paracatu
271,Kavieng,PG,80.58,overcast clouds,-2.5744,150.7967,Kaewieng
276,Pochutla,MX,82.0,broken clouds,15.7432,-96.4661,Pochutla District
278,Abonnema,NG,84.2,few clouds,4.7084,6.7931,Degema
283,Padang,ID,75.2,overcast clouds,-0.9492,100.3543,Padang
284,Acarau,BR,84.69,clear sky,-2.8856,-40.12,Acaraú
286,Cockburn Town,TC,80.6,scattered clouds,21.4612,-71.1419,Cockburn Town
289,Reforma,MX,83.77,clear sky,18.1,-91.0167,Reforma
291,Haapiti,PF,82.0,broken clouds,-17.5667,-149.8667,Ha'apiti
299,Diamantino,BR,88.18,broken clouds,-14.4086,-56.4461,Diamantino
304,Miraflores,MX,77.0,clear sky,19.2167,-98.8083,Tlalmanalco
317,Touros,BR,86.0,clear sky,-5.1989,-35.4608,Touros
319,Georgetown,MY,82.4,few clouds,5.4112,100.3354,George Town
327,Ipameri,BR,81.09,overcast clouds,-17.7219,-48.1597,Ipameri
329,Manta,EC,82.4,broken clouds,-0.95,-80.7333,Manta
336,Castro,BR,75.56,clear sky,-24.7911,-50.0119,Castro
340,Mayumba,GA,79.18,broken clouds,-3.432,10.6554,Mayumba
350,Becal,MX,89.01,clear sky,20.45,-90.0333,Halacho
353,Puerto Madero,MX,86.0,broken clouds,14.7208,-92.4215,Puerto Madero
355,Capitan Bado,PY,78.17,overcast clouds,-23.2667,-55.5333,Coronel Sapucaia
356,San Andres,CO,84.2,few clouds,12.5847,-81.7006,San Andrés
357,Caravelas,BR,83.03,overcast clouds,-17.7125,-39.2481,Caravelas
363,Saint-Georges,GD,84.2,few clouds,12.0564,-61.7485,Saint George's
368,Taoudenni,ML,82.22,broken clouds,22.6783,-3.9836,Taoudenni
374,Labuhan,ID,78.15,overcast clouds,-6.8844,112.2051,Musholla Babut Taubat
376,Conde,BR,86.0,clear sky,-7.2597,-34.9075,João Pessoa
380,Nicolas Bravo,MX,82.4,scattered clouds,18.45,-88.9167,Nicolás Bravo
382,Sambava,MG,78.22,light rain,-14.2667,50.1667,Sambava
385,Barra Velha,BR,90.0,clear sky,-26.6322,-48.6847,Centro
390,Ouadda,CF,76.28,few clouds,8.0777,22.4007,Ouadda
392,Ixtapa,MX,75.2,clear sky,20.7,-105.2,Puerto Vallarta
393,Trairi,BR,84.31,clear sky,-3.2778,-39.2689,Trairi
395,Aragarcas,BR,89.6,scattered clouds,-15.8975,-52.2508,Barra do Garças
396,San Policarpo,PH,80.26,overcast clouds,12.1791,125.5072,Oras
399,Kapoeta,SS,87.84,broken clouds,4.7717,33.5903,Kapoeta
403,Pimenta Bueno,BR,86.54,very heavy rain,-11.6725,-61.1936,Pimenta Bueno
411,Le Port,RE,77.0,clear sky,-20.9373,55.2919,Le Port
412,Port Blair,IN,78.53,clear sky,11.6667,92.75,Port Blair
415,Kieta,PG,80.17,light rain,-6.2167,155.6333,Kieta
416,Mitsamiouli,KM,78.8,few clouds,-11.3847,43.2844,Mitsamiouli
418,Formosa,AR,85.55,few clouds,-26.1775,-58.1781,Formosa
419,Mangaluru,IN,77.0,clear sky,12.8667,74.8833,Mangalore
422,Papara,BR,84.2,scattered clouds,-3.9839,-38.7273,Papara
424,Manggar,ID,79.5,scattered clouds,-2.8833,108.2667,Manggar
429,San Ignacio,BZ,87.8,clear sky,17.1561,-89.0714,San Ignacio
430,Bowen,AU,75.2,overcast clouds,-20.0167,148.2333,Bowen
432,Itarantim,BR,84.78,broken clouds,-15.6597,-40.0656,Itarantim
434,Carutapera,BR,84.87,scattered clouds,-1.195,-46.02,Carutapera
438,Hambantota,LK,77.0,few clouds,6.1241,81.1185,Hambantota
439,Porto Novo,BJ,86.0,few clouds,6.4965,2.6036,Porto-Novo
440,Chimbote,PE,76.6,clear sky,-9.0853,-78.5783,Chimbote
441,Santa Isabel Do Rio Negro,BR,82.76,overcast clouds,-0.4139,-65.0192,Santa Isabel do Rio Negro
446,Saint-Joseph,RE,80.6,few clouds,-21.3667,55.6167,Saint-Joseph
448,Santa Maria,BR,75.2,broken clouds,-29.6842,-53.8069,Santa Maria
454,Wattegama,LK,77.0,few clouds,6.7989,81.4808,Wattegama
455,Poya,NC,75.42,clear sky,-21.35,165.15,Poya
459,Jacmel,HT,82.99,clear sky,18.2342,-72.5347,Jacmel
460,Trinidad,BO,87.8,scattered clouds,-14.8333,-64.9,Trinidad
466,Kambam,ID,77.0,overcast clouds,5.2505,96.8629,Ypi Darussaadah
467,Kerema,PG,79.34,overcast clouds,-7.9631,145.7785,Kerema
470,Mopipi,BW,81.63,broken clouds,-21.1833,24.8833,Mopipi
483,Ogbomosho,NG,85.89,overcast clouds,8.133,4.25,Ogbomosho
489,Ejido,VE,77.4,overcast clouds,8.5514,-71.2375,Merida
491,Karratha,AU,79.74,broken clouds,-20.7377,116.8463,Karratha
493,Olinda,BR,82.4,few clouds,-8.0089,-34.8553,Recife
496,Abai,PY,80.67,clear sky,-26.0333,-55.9333,Abaí
498,Sao Joao Da Barra,BR,84.2,clear sky,-21.6403,-41.0511,Grussaí
501,Poso,ID,76.39,overcast clouds,-1.3959,120.7524,Poso
505,Fare,PF,80.82,light rain,-16.7,-151.0167,Fare
510,Biak,ID,77.67,overcast clouds,-0.9131,122.8766,CV. Karya Alam Perkasa
532,Alyangula,AU,78.8,light rain,-13.8483,136.4192,Alyangula
535,Bogande,BF,84.36,clear sky,12.9714,-0.1436,Bogande
543,Daru,PG,79.23,overcast clouds,-9.0763,143.2092,Daru
553,Micheweni,TZ,80.98,clear sky,-4.9667,39.8333,Maziwa Ngombe
555,Thinadhoo,MV,82.44,overcast clouds,0.5333,72.9333,
563,Bull Savanna,JM,80.8,clear sky,17.8868,-77.5902,Alligator Pond
576,Gizo,SB,82.53,moderate rain,-8.103,156.8419,Gizo
579,Alofi,NU,75.2,moderate rain,-19.0595,-169.9187,Alofi
581,Iguape,BR,80.55,clear sky,-24.7081,-47.5553,Ilha Comprida
585,Moa,CU,80.4,overcast clouds,20.6569,-74.9403,Moa
587,Meulaboh,ID,77.18,clear sky,4.1363,96.1285,Meulaboh
589,Vila Velha,BR,89.01,broken clouds,-20.3297,-40.2925,Vila Velha
590,Cap Malheureux,MU,75.99,light rain,-19.9842,57.6142,Grand Baie
592,Vanimo,PG,78.01,overcast clouds,-2.6741,141.3028,Vanimo
597,Kidal,ML,76.03,broken clouds,18.4411,1.4078,Kidal
614,Buala,SB,80.24,light rain,-8.145,159.5921,Buala
615,Cabedelo,BR,86.0,clear sky,-6.9811,-34.8339,Cabedelo
617,Xai-Xai,MZ,79.02,overcast clouds,-25.0519,33.6442,Xai-Xai District
619,San Cristobal,VE,86.0,scattered clouds,7.7669,-72.225,San Cristobal
622,Matamoros,MX,77.0,clear sky,25.5333,-103.25,Matamoros
626,Majene,ID,77.72,overcast clouds,-3.5403,118.9707,Majene
628,Maragogi,BR,82.83,clear sky,-9.0122,-35.2225,Maragogi
630,Villa Carlos Paz,AR,86.0,clear sky,-31.4241,-64.4978,Villa Carlos Paz
635,Ambilobe,MG,75.6,light rain,-13.2,49.05,Ambilobe
639,Marapanim,BR,87.46,clear sky,-0.7175,-47.6997,Marapanim
642,Saint-Pierre,RE,80.6,few clouds,-21.3393,55.4781,Saint Pierre
643,Carauari,BR,80.73,overcast clouds,-4.8828,-66.8958,Carauari
647,Nokaneng,BW,78.03,overcast clouds,-19.6667,22.2667,
650,Caibarien,CU,86.0,broken clouds,22.5206,-79.4669,Caibarién
654,Silca,HN,86.0,scattered clouds,14.8333,-86.5333,Salama
656,Belmonte,BR,86.0,broken clouds,-15.8631,-38.8828,Belmonte
660,Hualmay,PE,75.81,overcast clouds,-11.0964,-77.6139,Huacho
661,Amahai,ID,79.29,overcast clouds,-3.3333,128.9167,Amahai
669,Mathathane,BW,79.07,moderate rain,-22.2687,28.7495,Mathathane
670,Kavaratti,IN,80.64,clear sky,10.5669,72.642,Kavaratti
673,Cerrito,CO,77.0,broken clouds,6.8432,-72.694,Cerrito
674,Jacareacanga,BR,82.4,light rain,-6.2222,-57.7528,Jacareacanga
679,Emerald,AU,75.2,clear sky,-23.5333,148.1667,Emerald
680,Camudmud,PH,75.2,few clouds,7.1761,125.6933,Davao City
